PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
7.1,28,145,145,9.7,10.3,6.4,0.43,1.2,7200,15.2
7.2,27,108,130,8.5,12,5.35,1.23,1.34,8500,12.94
7,28.2,103,120,10.9,16,5.43,0.24,1.48,10200,3.9
6.7,27,115,115,15.1,19.2,3.2,0.35,2.48,12500,3.63
6.4,28,178,120,14.5,16.2,5.46,1.65,1.38,9500,11.25
6.5,28.3,210,140,24.8,34.3,3.45,2.45,2,117000,3.11
7.1,27,80,72.64,6.5,8.8,7.68,0.84,0.01,2300,55.5
7.02,28.2,80,98.46,14.4,22.4,0.64,7,4.28,6900,44.38
7.02,27.6,83,135.5,8.7,12,7.84,0.84,0.01,1310,73.34
7,27,83,132.14,7.1,12.8,6.4,0.78,0.01,17000,15.67
7.05,27.2,134,120.8,8.6,15.2,7.68,0.62,0.04,14900,4.26
7.03,27.1,76,118.62,9.2,14.4,5.76,0.89,0.01,1600,70.57
7.05,27.9,91,124.32,10.9,19.6,1.44,0.67,0.05,14500,13.99
7.35,27.2,135,140.6,8.3,12.8,4.96,0.72,0.01,17800,4.15
7,27.5,278,137.76,81.8,92,0.01,36.4,2.58,24000,1.59
7.12,28,89,45.2,7.8,8,7.52,1.12,0.01,1200,51.66
7,28.1,75,121.4,41.2,66,0.01,24.08,1.94,1800,37.55
7.05,27.2,85,135.08,37.2,65,0.03,1.68,0.12,2200,52.49
7.08,28,90,128.06,6.4,9.6,7.84,0.56,0.01,1540,75.19
7.05,27.3,100,151.2,8.7,11.2,6.88,2.24,0.01,13900,4.23
7.16,27.5,96,120.84,5.9,9.6,7.2,0.56,0.02,1780,75.33
7,28,102,122.36,8.8,12.8,6.98,1.4,0.03,11700,4.22
6.98,28.1,105,123.04,9.9,11.2,7.2,2.8,1.03,13200,3.89
7.22,28.3,188,126.28,12.6,18.4,6.72,3.08,0.01,11300,4.07
7.05,28,73,116.25,7.8,13.6,4.8,1.12,0.01,5400,48.66
7.08,28,76,102.5,7.6,11.2,4.32,0.95,0.06,1450,75.77
7.08,28,80,102.5,8.2,11.2,4.32,0.95,0.06,5200,61.02
7,28.3,83,114.85,9.5,14.4,3.68,0.5,0.01,9200,48.46
7.02,28,92,142.28,8.9,12,4,0.39,0.02,1780,71.89
7.08,28.4,96,154.9,8.6,14.4,4,0.62,0.01,2600,69.93
7,28.1,100,146.72,6.5,8,4.16,0.06,0.01,1360,20.45
6.98,27.5,105,123.11,6.4,10.4,4.64,0.56,0.02,17000,4.23
7.05,28.3,136,136.57,10.2,16.8,2.56,0.56,0.02,11100,3.99
7.4,28,38.06,72.64,6.42,9.6,7.32,0.73,0.01,1400,66.12
7.6,28,32.05,35.5,6.18,12.4,7.51,0.28,0.01,1700,81.36
7.8,28,40.06,42.14,8.36,16.4,7.77,0.17,0.02,5600,77.62
7.8,28.3,42.07,20.8,4.22,6.4,7.3,0.28,0.01,2300,97.32
